event_date,type,t0,n_c5_bars,c5_full,prior_median_range,c5_median_range
2023-02-01,FOMC,2023-02-01T20:00:00,5,True,6.579000000000633,23.389999999999418
2023-02-03,NFP,2023-02-03T14:30:00,5,True,8.549999999999272,38.04000000000087
2023-03-10,NFP,2023-03-10T14:30:00,5,True,15.153999999999542,32.52000000000044
2023-03-22,FOMC,2023-03-22T19:00:00,5,True,8.623999999999796,41.97999999999956
2023-05-03,FOMC,2023-05-03T20:00:00,5,True,6.1200000000008,18.520000000000437
2023-05-05,NFP,2023-05-05T14:30:00,5,True,10.069000000000415,24.400000000001455
2023-06-02,NFP,2023-06-02T14:30:00,5,True,7.020000000000437,21.139999999999418
2023-06-14,FOMC,2023-06-14T20:00:00,5,True,5.815000000000509,24.5
2023-07-07,NFP,2023-07-07T14:30:00,5,True,8.592999999999847,25.98999999999978
2023-07-26,FOMC,2023-07-26T20:00:00,5,True,5.01299999999992,10.040000000000873
2023-08-04,NFP,2023-08-04T14:30:00,5,True,14.359000000000378,36.51000000000022
2023-09-01,NFP,2023-09-01T14:30:00,5,True,11.765000000000327,21.01000000000022
2023-09-20,FOMC,2023-09-20T20:00:00,5,True,4.769999999999527,17.549999999999272
2023-10-06,NFP,2023-10-06T14:30:00,5,True,11.649999999999636,41.099999999998545
2023-11-01,FOMC,2023-11-01T19:00:00,5,True,9.575000000000728,13.010000000000218
2023-11-03,NFP,2023-11-03T13:30:00,5,True,9.074999999999818,24.850000000000364
2023-12-08,NFP,2023-12-08T14:30:00,5,True,8.56500000000051,16.979999999999563
2023-12-13,FOMC,2023-12-13T20:00:00,5,True,3.9899999999997817,19.149999999997817
2024-01-05,NFP,2024-01-05T14:30:00,5,True,13.045000000000073,36.98999999999796
2024-01-31,FOMC,2024-01-31T20:00:00,5,True,8.37750000000051,15.988999999997759
2024-02-02,NFP,2024-02-02T14:30:00,5,True,7.083000000000538,22.122000000003027
2024-03-08,NFP,2024-03-08T14:30:00,5,True,8.016499999999724,19.032999999999447
2024-03-20,FOMC,2024-03-20T19:00:00,5,True,6.7555000000011205,19.5
2024-04-05,NFP,2024-04-05T14:30:00,5,True,11.627500000002328,39.522000000000844
2024-05-01,FOMC,2024-05-01T20:00:00,5,True,13.74449999999888,25.12199999999939
2024-05-03,NFP,2024-05-03T14:30:00,5,True,9.593999999999141,37.13300000000163
2024-06-07,NFP,2024-06-07T14:30:00,5,True,14.971999999997934,40.022000000000844
2024-06-12,FOMC,2024-06-12T20:00:00,5,True,7.644000000000233,15.022000000000844
2024-07-05,NFP,2024-07-05T14:30:00,5,True,10.572000000000116,31.510999999998603
2024-07-31,FOMC,2024-07-31T20:00:00,5,True,9.310999999999694,11.011000000002241
2024-08-02,NFP,2024-08-02T14:30:00,5,True,18.527500000000146,50.522000000000844
2024-09-06,NFP,2024-09-06T14:30:00,5,True,13.783500000001368,44.5
2024-09-18,FOMC,2024-09-18T20:00:00,5,True,7.560999999999694,47.977999999999156
2024-10-04,NFP,2024-10-04T14:30:00,5,True,11.510999999998603,28.977999999999156
2024-11-01,NFP,2024-11-01T13:30:00,5,True,9.966499999998632,21.622000000003027
2024-11-07,FOMC,2024-11-07T20:00:00,5,True,7.2554999999993015,12.621999999999389
2024-12-06,NFP,2024-12-06T14:30:00,5,True,10.244500000000698,20.100000000002183
2024-12-18,FOMC,2024-12-18T20:00:00,5,True,7.021999999999025,24.144000000000233
2025-01-10,NFP,2025-01-10T14:30:00,5,True,10.827499999999418,35.888999999999214
2025-01-29,FOMC,2025-01-29T20:00:00,5,True,7.632999999999811,19.489000000001397
2025-02-07,NFP,2025-02-07T14:30:00,5,True,9.021999999999025,21.022000000000844
2025-03-07,NFP,2025-03-07T14:30:00,5,True,25.622000000001208,59.0109999999986
2025-03-19,FOMC,2025-03-19T19:00:00,5,True,15.494500000000698,23.989000000001397
2025-04-04,NFP,2025-04-04T14:30:00,5,True,93.01649999999972,106.46700000000055
2025-05-02,NFP,2025-05-02T14:30:00,5,True,18.422500000000582,45.54400000000169
2025-05-07,FOMC,2025-05-07T20:00:00,5,True,14.827499999997599,26.0
2025-06-06,NFP,2025-06-06T14:30:00,5,True,14.771999999999025,26.899999999997817
2025-06-18,FOMC,2025-06-18T20:00:00,5,True,13.805500000000393,29.144000000000233
2025-07-03,NFP,2025-07-03T14:30:00,5,True,12.761000000000422,35.477999999999156
2025-07-30,FOMC,2025-07-30T20:00:00,5,True,7.632999999999811,9.621999999999389
2025-08-01,NFP,2025-08-01T14:30:00,5,True,21.972499999999854,42.5
2025-09-05,NFP,2025-09-05T14:30:00,5,True,12.322000000000116,25.522000000000844
2025-09-17,FOMC,2025-09-17T20:00:00,5,True,7.521999999999025,30.0
2025-10-29,FOMC,2025-10-29T19:00:00,5,True,10.00550000000112,20.032999999999447
2025-11-20,NFP,2025-11-20T14:30:00,5,True,17.816500000000815,27.100000000002183
2025-12-10,FOMC,2025-12-10T20:00:00,5,True,9.577499999999418,21.644000000000233
2025-12-16,NFP,2025-12-16T14:30:00,5,True,14.011000000000422,24.54399999999805
