symbol,release_date,release_time,side,period
AMKR,2014-04-28,post,long,IS
AMKR,2014-10-27,post,short,IS
AMN,2019-05-02,post,long,OOS
AMP,2012-10-24,post,long,IS
AMP,2014-02-04,post,long,IS
AMP,2014-04-28,post,long,IS
AMP,2014-07-29,post,long,IS
AMP,2014-10-28,post,long,IS
AMP,2015-04-22,post,short,IS
AMP,2017-02-01,post,long,OOS
AMP,2017-07-25,post,long,OOS
AMP,2017-10-24,post,long,OOS
AMT,2013-05-01,pre,short,IS
AMT,2014-07-30,pre,long,IS
AMT,2017-10-31,pre,short,OOS
AMTD,2013-07-23,pre,long,IS
AMTD,2014-01-21,pre,long,IS
AMTD,2015-01-21,pre,short,IS
AMTD,2015-04-21,pre,short,IS
AMTD,2017-07-18,pre,long,OOS
AMTD,2017-10-24,pre,long,OOS
AMTD,2018-01-22,post,long,OOS
AMWD,2015-11-24,pre,long,IS
AMWD,2018-03-09,pre,short,OOS
AMWD,2018-05-29,pre,long,OOS
AMX,2016-07-28,post,short,IS
AMZN,2014-01-30,post,short,IS
AMZN,2014-07-24,post,short,IS
AMZN,2014-10-23,post,short,IS
AMZN,2015-01-29,post,long,IS
AMZN,2015-04-23,post,long,IS
AMZN,2015-07-23,post,long,IS
AMZN,2015-10-22,post,long,IS
AMZN,2016-01-28,post,short,IS
AMZN,2016-04-28,post,long,IS
AMZN,2016-07-28,post,long,IS
AMZN,2016-10-27,post,short,IS
AMZN,2017-04-27,post,long,OOS
AMZN,2017-07-27,post,short,OOS
AMZN,2017-10-26,post,long,OOS
AMZN,2018-02-01,post,long,OOS
AMZN,2018-04-26,post,long,OOS
AMZN,2018-07-26,post,long,OOS
AMZN,2019-04-25,post,long,OOS
AMZN,2019-07-25,post,short,OOS
AN,2013-04-18,pre,long,IS
AN,2014-07-17,pre,short,IS
AN,2014-10-28,pre,long,IS
AN,2015-02-03,pre,long,IS
AN,2015-04-22,pre,long,IS
AN,2016-10-28,pre,short,IS
AN,2017-08-02,pre,short,OOS
AN,2017-11-02,pre,long,OOS
AN,2018-10-30,pre,short,OOS
AN,2019-02-22,pre,short,OOS
ANDE,2014-05-07,post,short,IS
ANDE,2014-08-06,post,long,IS
ANDE,2014-11-05,post,short,IS
ANDE,2015-02-10,post,short,IS
ANDX,2017-11-08,post,long,OOS
ANET,2014-08-07,post,long,IS
ANET,2015-02-19,post,long,IS
ANET,2015-11-05,post,long,IS
ANET,2016-02-18,post,long,IS
ANET,2017-02-16,post,long,OOS
ANET,2017-08-03,post,long,OOS
ANET,2017-11-02,post,long,OOS
ANET,2018-11-01,post,long,OOS
ANET,2019-02-14,post,long,OOS
ANF,2012-11-14,pre,long,IS
ANF,2013-05-24,pre,short,IS
ANF,2013-08-22,pre,short,IS
ANF,2014-02-26,pre,long,IS
